,Layer
ZT12B989,3
ZT12B990,1
ZT12B991,1
ZT12B992,8
ZT12B993,3
ZT12B994,6
ZT12B995,7
ZT12B996,7
ZT12B997,1
ZT12B998,2
ZT12B999,3
ZT12B1000,2
ZT12B1001,3
ZT12B1002,6
ZT12B1003,7
ZT12B1004,3
ZT12B1005,8
ZT12B1006,7
ZT12B1007,6
ZT12B1008,3
ZT12B1009,3
ZT12B1010,8
ZT12B1011,3
ZT12B1012,8
ZT12B1013,8
ZT12B1014,8
ZT12B1015,6
ZT12B1016,8
ZT12B1017,4
ZT12B1018,4
ZT12B1019,6
ZT12B1020,7
ZT12B1021,7
ZT12B1022,6
ZT12B1023,7
ZT12B1024,2
ZT12B1025,8
ZT12B1026,3
ZT12B1027,4
ZT12B1028,4
ZT12B1029,8
ZT12B1030,6
ZT12B1031,6
ZT12B1032,2
ZT12B1033,7
ZT12B1034,4
ZT12B1035,3
ZT12B1036,2
ZT12B1037,3
ZT12B1038,7
ZT12B1039,3
ZT12B1040,8
ZT12B1041,3
ZT12B1042,4
ZT12B1043,8
ZT12B1044,6
ZT12B1045,3
ZT12B1046,8
ZT12B1047,7
ZT12B1048,4
ZT12B1049,2
ZT12B1050,2
ZT12B1051,1
ZT12B1052,8
ZT12B1053,1
ZT12B1054,7
ZT12B1055,7
ZT12B1056,1
ZT12B1057,8
ZT12B1058,3
ZT12B1059,3
ZT12B1060,7
ZT12B1061,2
ZT12B1062,4
ZT12B1063,8
ZT12B1064,6
ZT12B1065,3
ZT12B1066,6
ZT12B1067,8
ZT12B1068,3
ZT12B1069,3
ZT12B1070,3
ZT12B1071,8
ZT12B1072,7
ZT12B1073,1
ZT12B1074,2
ZT12B1075,3
ZT12B1076,6
ZT12B1077,8
ZT12B1078,8
ZT12B1079,8
ZT12B1080,1
ZT12B1081,5
ZT12B1082,6
ZT12B1083,3
ZT12B1084,8
ZT12B1085,3
ZT12B1086,8
ZT12B1087,7
ZT12B1088,3
ZT12B1089,8
ZT12B1090,7
ZT12B1091,8
ZT12B1092,7
ZT12B1093,3
ZT12B1094,7
ZT12B1095,1
ZT12B1096,8
ZT12B1097,7
ZT12B1098,1
ZT12B1099,7
ZT12B1100,4
ZT12B1101,8
ZT12B1102,7
ZT12B1103,6
ZT12B1104,8
ZT12B1105,8
ZT12B1106,3
ZT12B1107,8
ZT12B1108,3
ZT12B1109,3
ZT12B1110,3
ZT12B1111,3
ZT12B1112,6
ZT12B1113,8
ZT12B1114,3
ZT12B1115,8
ZT12B1116,3
ZT12B1117,6
ZT12B1118,8
ZT12B1119,8
ZT12B1120,4
ZT12B1121,7
ZT12B1122,8
ZT12B1123,7
ZT12B1124,8
ZT12B1125,1
ZT12B1126,8
ZT12B1127,6
ZT12B1128,5
ZT12B1129,8
ZT12B1130,8
ZT12B1131,8
ZT12B1132,8
ZT12B1133,8
ZT12B1134,4
ZT12B1135,8
ZT12B1136,7
ZT12B1137,8
ZT12B1138,7
ZT12B1139,7
ZT12B1140,1
ZT12B1141,7
ZT12B1142,6
ZT12B1143,1
ZT12B1144,6
ZT12B1145,1
ZT12B1146,4
ZT12B1147,8
ZT12B1148,6
ZT12B1149,1
ZT12B1150,4
ZT12B1151,3
ZT12B1152,7
ZT12B1153,3
ZT12B1154,6
ZT12B1155,1
ZT12B1156,8
ZT12B1157,3
ZT12B1158,8
ZT12B1159,6
ZT12B1160,8
ZT12B1161,6
ZT12B1162,8
ZT12B1163,8
ZT12B1164,3
ZT12B1165,6
ZT12B1166,3
ZT12B1167,8
ZT12B1168,1
ZT12B1169,6
ZT12B1170,8
ZT12B1171,8
ZT12B1172,1
ZT12B1173,7
ZT12B1174,6
ZT12B1175,3
ZT12B1176,7
ZT12B1177,1
ZT12B1178,7
ZT12B1179,4
ZT12B1180,7
ZT12B1181,8
ZT12B1182,6
ZT12B1183,8
ZT12B1184,7
ZT12B1185,8
ZT12B1186,4
ZT12B1187,6
ZT12B1188,1
ZT12B1189,7
ZT12B1190,7
ZT12B1191,1
ZT12B1192,4
ZT12B1193,1
ZT12B1194,7
ZT12B1195,8
ZT12B1196,4
ZT12B1197,6
ZT12B1198,3
ZT12B1199,6
ZT12B1200,8
ZT12B1201,3
ZT12B1202,5
ZT12B1203,8
ZT12B1204,8
ZT12B1205,7
ZT12B1206,3
ZT12B1207,7
ZT12B1208,3
ZT12B1209,7
ZT12B1210,6
ZT12B1211,4
ZT12B1212,7
ZT12B1213,5
ZT12B1214,1
ZT12B1215,3
ZT12B1216,7
ZT12B1217,6
ZT12B1218,6
ZT12B1219,2
ZT12B1220,3
ZT12B1221,3
ZT12B1222,3
ZT12B1223,7
ZT12B1224,4
ZT12B1225,1
ZT12B1226,3
ZT12B1227,6
ZT12B1228,1
ZT12B1229,6
ZT12B1230,1
